CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
22.459.737/0001-00;2024-06-01;1;n/a;n/a;n/a;n/a
23.120.006/0001-06;2024-12-01;1;VINICIUS GONTIJO SOC ADVOGADOS;28.523.398/0001-60;Rua Ministro Orozimbo Nonato, 442 - Nova Lima - Minas Gerais;(31) 3889-2300
23.120.006/0001-06;2024-12-01;1;PEDRO RIBEIRO SOC ADVOGADOS;58.987.915/0001-12;Rua Sebastiao Chapp Galindo, 50 - Londrina - Paraná;(43)99959-5140
23.120.006/0001-06;2024-12-01;1;PORTUGAL VILELA E ADOGADOS;02.444.940/0001-03;Rua Paraiba, 1323 - Belo Horizonte - Minas Gerais;(31)3506-8200
23.768.027/0001-24;2024-12-01;1;CONDOMINIO TOP CENTER;08110072000101;AV PAULISTA, 828, - BELA VISTA, SAO PAULO - SP - 01310-100;()
26.614.291/0001-00;2024-06-01;2;VÓRTX DTVM;22.061.500/0001-88;Av. Brig. Faria Lima, 2277 - 2º andar;
26.614.291/0001-00;2024-06-01;2;BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;02.671.743/0001-19;Av. Brig. Faria Lima, 3477 - Torre B, 8º andar;(11) 2197-4645
26.990.011/0001-50;2024-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;(51) 3388.3677
28.267.555/0001-13;2024-12-01;1;JULIUS BAER FAMILY OFFICE BRASIL GESTÃO DE PATRIMÔNIO LTDA;12695840000103;Rua Elvira Ferraz, nº 68, 10º e 11º andares - Vila Olimpia - São Paulo - SP;(11)2161-2410
28.693.595/0001-27;2024-12-01;1;N/A;0;N/A;N/A
28.757.546/0001-00;2024-06-01;3;JHSF MALLS S.A.;07859510000320;R RAFAEL DIAS COSTA, 140,  - DONA CATARINA, SÃO ROQUE - SP - 18132-852;()
28.757.546/0001-00;2024-06-01;3;CPPIB SALVADOR PARTICIPACOES LTDA - REGISTRO DO 6º OFICIO DE IMÓVEIS - SALVADOR;14555253000136;RUA DR JOÃO PONDDÉ, 500, BARRA, SALVADOR/BA, CEP: 40140-810;(71) 30119041
28.757.546/0001-00;2024-06-01;3;TRUE SECURITIZADORA S.A.;12130744000100;AV STO AMARO, 48, AND 2 CONJ 21 E 22 - VILA NOVA CONCEICA, SAO PAULO - SP - 04506-000;(11) 30714475
28.757.546/0001-00;2024-06-01;3;CYRELA COMMERCIAL PROPERTIES S.A. EMPREENDIMENTOS;08801621000186;AV BRIG FARIA LIMA, 3600, AND 14 CONJ 141 - ITAIM BIBI, SAO PAULO - SP - 04538-132;(11) 20792713
28.757.546/0001-00;2024-06-01;3;HSI REAL ESTATE VI MASTER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - MULTIESTRATÉGIA;40916976000123;Avenida Brigadeiro Faria Lima, 3.729, 7º andar, Itaim Bibi, CEP 04538-905;(11) 31275500
28.757.546/0001-00;2024-06-01;3;Marfim Empreendimentos Imobiliários;09597890000135;Av. Brigadeiro Faria Lima;(11) 38397901
30.567.216/0001-02;2024-12-01;1;Barreto, Lamussi, Nunes Advogados;40.416.420/0001-78;Av. Cidade Jardim, 377 sl J - São Paulo - SP;11-98807-1646
30.567.216/0001-02;2024-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
30.567.216/0001-02;2024-12-01;1;Mangini Leite Siegl Mermerian Advogados;29.299.093/0001-89;R. Helena, 260 cj. 21 e 23 São Paulo-SP;
