CNPJ_Fundo_Classe;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
03.683.056/0001-86;2024-12-01;1;31693;3380711;0.916;0.621856046083566;0.2942;1;309984;0.084;0;0.0839906846813405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.855.441/0001-63;2024-12-01;1;1;1219857;0.0085;0;0.0085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;142990804;0.9915;0;0.9915
04.066.582/0001-60;2024-12-01;1;3075;200000;1;0.97737;0.02263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.141.645/0001-03;2024-12-01;1;12996;1202101;0.8707;0.7606;0.1101;2;178569;0.1293;0.0636;0.0657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.644.612/0001-78;2024-12-01;1;1;1383704.63009994;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.722.883/0001-02;2024-12-01;1;568;702403;0.17847590763403;0.0839011048485578;0.0945748027854726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3233159;0.82152409236597;0;0.82152409236597
05.437.916/0001-27;2024-12-01;1;2147;234367;0.6104;0.607;0.0034;4;149569;0.3896;0.3896;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.562.312/0001-02;2024-12-01;1;2129;68553;0.5594;0.53;0.0294;2;19852;0.162;0.0924;0.0696;1;13031;0.1063;0.1063;0;1;21102;0.1722;0;0.1722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.175.262/0001-73;2024-12-01;1;491;144348;0.6116;0.9962;0.0038;2;29120;0.1234;1;0;0;0;0;0;0;0;0;0;0;0;1;62532;0.265;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.000.400/0001-46;2024-12-01;1;6846;130000;1;0.9608;0.0392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.122.725/0001-00;2024-12-01;1;2036;68115;0.612671685690386;0.460436960882197;0.152234724808189;5;43062;0.387328314309614;0.159628340394146;0.227699973915468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.224.019/0001-60;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.583.627/0001-61;2024-12-01;1;1;880;0.003911;0.003911;0;5;93210;0.414353;0.414353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;130862;0.581732;0;0.581732
07.789.135/0001-27;2024-12-01;1;165;4133132.51;0.1546;0.7969;0.2031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;22601913.58;0.8454;0;1
08.014.513/0001-63;2024-12-01;1;5630;1293286;1;0.903294398918723;0.0967056010812767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.098.114/0001-28;2024-06-01;1;296;2292563;0.2576;0.0541;0.2035;1;562774;0.0632;0;0.0632;;;;;;;;;;;;;;;;;;;;;;;;;;1;6043387;0.6792;0;0.6792
08.417.532/0001-30;2024-12-01;1;1;465;0.0099;0;0.0099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;46506;0.9901;0;0.9901
08.431.747/0001-06;2024-12-01;1;126060;11974198;0.9406;0.8043;0.1957;1;755602;0.0594;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.693.497/0001-82;2024-12-01;1;106;2194;0.00345940626219177;0.00320499999999999;0.000298;4;206700;0.325915804190993;0.325916;0;1;84128.877504;0.132650850350274;2.03830008427275E-17;0.132651;1;108355;0.170849574083769;0.17085;-7.26415455565288E-18;0;0;0;2.03830008427275E-17;-7.26415455565288E-18;1;232835;0.367124365112772;2.03830008427275E-17;0.36708;0;0;0;2.03830008427275E-17;-7.26415455565288E-18;0;0;0;0;0
08.696.175/0001-97;2024-06-01;1;7797;927162;1;0.9976;0.0024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.706.065/0001-69;2024-12-01;1;37098;2257536;0.78166984869606;0.73947350744124;0.0421963412548207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;630558;0.21833015130394;0;0.21833015130394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.924.783/0001-01;2024-12-01;1;127564;24913022;0.935236619949049;0.678892667005078;0.256343952943971;1;1725180;0.0647633800509509;0;0.0647633800509509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.006.914/0001-34;2024-12-01;2;7712;1828874;0.867213925070836;0.668898999999978;0.198544;2;242849;0.132786074929164;0;0.132557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.072.017/0001-29;2024-12-01;1;144971;11817767;1;0.9219;0.0781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.150.967/0001-24;2024-12-01;1;8;16752.97453334;0.228538030877025;0.2285;;6;42052;0.573658203521703;0.482958203521703;0.0907;;;;;;1;14500;0.1978;;0.1978;;;;;;;;;;;;;;;;;;;;
09.276.964/0001-31;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1206868.34768813;1;;1
09.326.861/0001-39;2024-12-01;1;1688;285261;0.2566;0.9999;0.0001;1;107654;0.0969;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;718634;0.6465;0;1
09.517.273/0001-82;2024-12-01;1;4;219137.473079;0.0911911004671801;0.000166;0.091025;4;726159.65354;0.30218153468123;0;0.30218;0;0;0;0;0;1;408476.031512;0.169981784971196;0;0.169982;2;1049284.508202;0.436645579880394;0;0.436647;0;2.3283064;9.68893285066949E-17;0;0;0;2.32830643;9.68893285066949E-17;0;0;0;0;0;0;0
09.552.812/0001-14;2024-12-01;1;183087;75832848;0.761977039418306;0.656100844551951;0.105876194866355;1;5513993;0.0554052257342789;0;0.0554052257342789;0;0;0;0;0;1;18174331;0.182617734847415;0;0.182617734847415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.347.985/0001-80;2024-12-01;1;932;3002637;0.9562;0.9994;0.0006;1;135839;0.0433;0;1;1;40;0;0;1;0;0;0;0;0;1;1184;0.0004;0;1;1;300;0.0001;0;1;0;0;0;0;0;0;0;0;0;0
10.375.382/0001-91;2024-12-01;1;796;72498;1;0.9982;0.0018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1
10.427.246/0001-06;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10664728;1;0;1
10.456.799/0001-89;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;61570;1;0;1;;;;;
10.456.810/0001-00;2024-12-01;1;339;14370;0.0310181597618703;0.0309969999999999;2E-06;4;136045;0.293658005901437;0.293658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;312862;0.675323834336693;0;0.675343
10.522.648/0001-81;2024-12-01;1;99;10500;0.1581;0.1573;0.0008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;55906.00743262;0.8419;0;0.8419
10.869.155/0001-12;2024-12-01;1;3515;100561;1;0.84717733514981;0.15282266485019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.991.914/0001-15;2024-12-01;1;3208;1188966;0.6941;0.6389;0.0552;2;203754;0.1189;0;0.1189;0;0;0;0;0;1;320230;0.1869;0;0.1869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.044.355/0001-07;2024-12-01;1;99;468724;0.2905;1;0;10;1144835;0.7095;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.160.521/0001-22;2024-12-01;1;100350;15418106;1;0.8686;0.1314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.179.118/0001-45;2024-12-01;1;4355;557729;0.8055;0.794;0.02;0;0;0;0;0;0;0;0;0;0;1;134648;0.1945;0;0.1945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.233.841/0001-65;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1529229.79;1;0;1
11.260.134/0001-68;2024-12-01;1;11054;1277111;0.7286;0.6393;0.3607;1;90537;0.0516;0;1;;;;;;;;;;;1;385409;0.2198;0;1;;;;;;;;;;;;;;;
11.268.335/0001-01;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;220.4949061;1;0;1
11.274.415/0001-70;2024-12-01;1;4504;800114;0.710798601703008;0.685069581710204;0.0257290199928042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;325541;0.289201398296992;0;0.289201398296992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.281.322/0001-72;2024-12-01;1;836;52021;0.2488;0.8983;0.1017;2;30844;0.1475;0.6315;0.3685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;126255;0.6037;0;1
11.326.746/0001-06;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;17450;1;0;1
11.425.077/0001-20;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;44260.0990842;1;0;1
11.602.654/0001-01;2024-12-01;1;3663;2816639;0.810774580384052;0.769055932481484;0.0417186479025679;0;0;0;0;0;0;0;0;0;0;1;657371;0.189225419615948;0;0.189225419615948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.664.201/0001-00;2024-12-01;2;117842;15592424;1;0.9392;0.0608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.728.688/0001-47;2024-12-01;1;492129;33787575;1;0.908;0.092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.769.604/0001-13;2024-12-01;1;7032;48148959;0.501;0.4907;0.0103;;;;;;;;;;;3;47957707;0.499;;0.499;;;;;;;;;;;;;;;;;;;;
11.827.568/0001-05;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;37122134.4905246;1;;1
11.839.593/0001-09;2024-06-01;1;333908;43249151;1;0.822394340180227;0.177605659819773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.945.604/0001-27;2024-06-01;1;925;100418;0.793673877476825;0.704093326904992;0.0895805505718328;3;26105;0.206326122523178;0.0562190273705176;0.15010709515266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.005.956/0001-65;2024-06-01;1;275388;28244415;1;0.8836;0.1164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.323.955/0001-69;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4826898.60041314;1;0;1
12.358.507/0001-09;2024-12-01;1;106;355181.76901753;0.8607;1;0;2;57504.23999909;0.1393;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.401.858/0001-47;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2626000;1;0;1
12.516.185/0001-70;2024-12-01;1;152736;64310930;0.7764;0.698;0.0783;1;4533915;0.0547;0;0.0547;0;0;0;0;0;1;13983910;0.1688;0;0.1688;;;;;;;;;;;;;;;;;;;;
12.681.340/0001-04;2024-12-01;1;9329;1590000;1;0.9501;0.0499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.804.013/0001-00;2024-12-01;1;204;712937;0.4194;0.4194;;7;987059;0.5806;0.5806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.809.972/0001-00;2024-12-01;1;291;717420;0.4097;0.9581;0.0419;5;810047;0.4626;0.8447;0.1553;1;223674;0.1277;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.811.222/0001-73;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;126402.29177919;1;1;
12.887.506/0001-43;2024-12-01;1;673;36536;0.6817;0.5605;0.1212;2;6508;0.1214;0.0699;0.0515;0;0;0;0;0;1;10553;0.1969;0;0.1969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.927.767/0001-40;2024-12-01;1;1;100000;0.0003;0;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;290822157.28;0.9997;0;0.9997
12.969.125/0001-03;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;467;1;0;1
12.978.943/0001-72;2024-06-01;1;483;4585746;0.3277;0.678;0.322;7;7739144;0.5531;0.6358;0.3642;1;1667000;0.1192;;1;;;;;;;;;;;;;;;;;;;;;;;;;
12.989.974/0001-29;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4735662339.00747;1;0;1
13.000.836/0001-38;2024-06-01;1;25;4.46737222;0.186336510175223;0;0;;;;;;1;3.48330984;0.145290736361478;0;0;2;8.78545538;0.366446092958275;0;0;;;;;;1;7.23861778;0.301926660505024;0;0;;;;;;;;;;
13.012.312/0001-67;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;253568.69310271;1;0;1
13.020.465/0001-56;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;297.7;1;0;1
13.022.994/0001-99;2024-12-01;1;61;136554;0.1735;0.135;0.0385;4;213213;0.2708;0.2119;0.0589096812218643;;;;;;;;;;;1;200274;0.2544;0;0.2544;1;237215;0.3013;0;0.3013;;;;;;;;;;
13.125.823/0001-95;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1246.29489;1;0;1
13.320.290/0001-00;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;142279.40866009;1;0;1
13.371.132/0001-71;2024-12-01;1;92919;19246981;0.9268;0.7746;0.2253;1;1520347;0.0732;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.500.306/0001-59;2024-12-01;1;3473;101644;1;0.94407;0.05593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.551.286/0001-45;2024-12-01;1;103380;27233401;0.797818679310645;0.65160495183438;0.146213727476265;3;6901424;0.202181320689355;0.0672787395277404;0.134902581161614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.555.918/0001-49;2024-12-01;1;78;68207.11336755;0.4677;0.0476;0.4201;5;51097.4372015;0.3504;0;0.3504;0;0;0;0;0;1;26513.4464316;0.1819;0;0.1818;;;;;;;;;;;;;;;;;;;;
13.584.584/0001-31;2024-12-01;2;11722;17401313;0.4897;0.062;0.4277;1;2548417;0.0717;;0.0717;;;;;;1;5895749;0.1659;;0.1659;1;9690257;0.2727;;0.2727;;;;;;;;;;;;;;;
13.598.226/0001-88;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;461216.04599703;1;0;1
13.703.596/0001-38;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1064.38551926;1;0;1
13.726.079/0001-84;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;294595.3907579;1;0;1;0;0;0;0;0
13.842.683/0001-76;2024-12-01;1;3;1807.1943014;0.069324;0;0;2;2947.6682247;0.113073;0;0;2;6641.8186308;0.254782;0;0;1;4763.1607067;0.182716;0;0;;;;;;1;9908.8020553;0.380104;0;0;;;;;;;;;;
13.873.457/0001-52;2024-12-01;1;11203;1905376;0.8091;0.5863;0.2228;3;449646;0.1909;0;0.1909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.920.018/0001-53;2024-12-01;2;18;12012.59055977;0.2966;0.1622;0.1344;6;14845.33880906;0.3665;0.29;0.0765;;;;;;2;13643.20174249;0.3369;0.1531;0.1837;;;;;;;;;;;;;;;;;;;;
13.974.819/0001-00;2024-12-01;1;3947;1767495.99924647;0.7123;0.4175;0.2948;3;403446;0.1626;0;0.1626;1;310342;0.1251;0;0.1251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.056.001/0001-62;2024-06-01;1;1612;1473283;0.455948740532682;0.455886535445915;6.22050867668117E-05;8;1757964;0.54405125946732;0.54405125946732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.074.706/0001-02;2024-12-01;1;14;4294649.203;0.0982;;0.0982;1;3370282.3769813;0.077;;0.077;1;6662400.58823529;0.1523;;0.1523;;;;;;;;;;;;;;;;;;;;;1;29420315.9132989;0.6725;;0.6725
14.080.689/0001-16;2024-06-01;1;1611;216220;0.2266;0.1954;0.0312;9;738084;0.7734;0.649727969284421;0.1237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.088.246/0001-71;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;230.69976;1;0;1
14.149.745/0001-21;2024-12-01;1;1;1000;0.0001;;0.0001;;;;;;;;;;;;;;;;;;;;;;;;;;1;623046661.021968;0.4756;;0.4756;1;686690000;0.5243;;0.5243
14.217.108/0001-45;2024-12-01;1;15958;571145;0.833788;0.795254;0.038534;;;;;;1;113855;0.166212;;0.166212;;;;;;;;;;;;;;;;;;;;;;;;;
14.376.247/0001-11;2024-12-01;1;1364;555629;0.5565;0.4292;0.1273;2;157907;0.1582;0;0.1582;1;129617;0.1298;0;0.1298;1;155252;0.1555;0;0.1555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.410.722/0001-29;2024-06-01;3;67689;13098127;0.823;0.915;0.085;1;1017117;0.064;1;0;1;1804446;0.113;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.413.342/0001-48;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;2;12972;0.5;0;0.5;;;;;;1;12972;0.5;0;0.5;;;;;
14.423.780/0001-97;2024-06-01;1;6425;16195895;0.87;0.84;0.03;2;2351266;0.13;0;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.609.653/0001-87;2024-12-01;1;18;21990.18;0.2685;0;0;4;18454;0.2253;0;0;3;25244;0.3082;0;0;1;16211.82;0.198;0;0;;;;;;;;;;;;;;;;;;;;
14.631.148/0001-39;2024-06-01;1;29;44575458.51;0.633;0;1;3;13720261.97;0.1948;0;1;0;0;0;0;0;1;12128083.22;0.1722;0;1;;;;;;;;;;;;;;;;;;;;
14.721.889/0001-00;2024-12-01;1;112;4322183;0.5355;0.5355;0;8;3749714;0.4645;0.4645;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.788.492/0001-36;2024-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4007458.3;1;0;1
14.793.782/0001-78;2024-12-01;1;1202;320963;0.4327;0.6577;0.3423;1;48016;0.0647;0;1;1;100796;0.1358;0;1;1;115853;0.1561;0;1;1;156372;0.2107;0;1;;;;;;;;;;;;;;;
15.006.267/0001-63;2024-12-01;1;2939;2733372;0.276098181818182;0.0518268686868687;0.224271313131313;2;1167707;0.117950202020202;0;0.117950202020202;1;1232903;0.124535656565657;0;0.124535656565657;0;0;0;0;0;2;4766018;0.48141595959596;0;0.48141595959596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.006.286/0001-90;2024-12-01;1;10460;1998775;0.7469;0.7061;0.0408;3;677225;0.2531;0.2531;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.098.422/0001-19;2024-12-01;1;114;85659;0.0617922411815542;0.0617907984320198;1.44274953435259E-06;10;1300583;0.938207758818446;0.938207758818446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.333.306/0001-37;2024-12-01;1;4250;2114798;0.554765867753744;0.460732596985091;0.0940332707686537;3;889514;0.233342383570017;0.0879119005365872;0.145430483033429;2;807743;0.211891748676239;0;0.211891748676239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.348.117/0001-38;2024-12-01;2;;;;;;;;;;;;;;;;;;;;;;;;;;3;1000.5181519;1;;1;;;;;;;;;;
15.394.563/0001-89;2024-12-01;1;1266;74898;0.6968;0.893699770378875;0.106285878300804;2;14484;0.1347;0.487579806978471;0.512858203414996;0;0;0;0;0;1;18099;0.1685;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.447.108/0001-02;2024-12-01;1;4906;3949135;0.1808;0.1131;0.0677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17892096;0.8192;0;0.8192
15.447.110/0001-73;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;212357343;0.486699998669099;0;0.486699998669099;0;0;0;0;0;0;0;0;0;0;1;223963478;0.513300001330901;0;0.513300001330901
15.461.076/0001-91;2024-12-01;1;5;198096;0.1077;;1;1;153809;0.0835;;1;2;390470;0.212;;1;2;599296;0.3254;;1;1;500000;0.2714;;1;;;;;;;;;;;;;;;
15.463.207/0001-70;2024-12-01;1;1;300;0.0274;0.0274;0;1;777;0.0711;0.0711;0;;;;;;;;;;;;;;;;1;4134;0.3781;0;0.3781;;;;;;1;5722;0.5234;0.5234;0
15.489.509/0001-17;2024-12-01;1;87;227440;0.046644;0.046644;0;10;4648689.319475;0.953356;0.953356;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.538.445/0001-05;2024-12-01;1;20793;1798000;1;0.9965;0.0035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.570.431/0001-60;2024-12-01;1;5523;597203;0.85314714285716;0.677482857142874;0.175664285714286;2;102797;0.146852857142857;0;0.146852857142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.576.907/0001-70;2024-12-01;1;63310;11705652;0.74967;0.61747;0.13221;1;935564;0.0599171080621264;0;0.0599171080621264;;;;;;1;2973089;0.190408026485969;0;0.190408026485969;;;;;;;;;;;;;;;;;;;;
15.798.220/0001-80;2024-12-01;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;19037.26170635;1;;1
15.799.397/0001-09;2024-12-01;1;4355;852031;0.469258620385791;0.456077449088394;0.0131811712973978;0;0;0;0;0;1;226478;0.124733435553088;0;0.124733435553088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;737187;0.40600794406112;0;0.40600794406112;0;0;0;0;0
16.543.270/0001-89;2024-12-01;1;14;277786.9057;0.2604;0.0008;0.2596;6;453238.10158678;0.4227;0;0.4227;1;114631.550288;0.1069;0;0.1069;0;0;0;0;0;1;226931.79291415;0.21;0;0.21;;;;;;;;;;;;;;;
16.671.412/0001-93;2024-12-01;1;53689;6994548;0.90379;0.75163;0.15216;1;744544;0.096205601;0;0.0962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.685.929/0001-31;2024-12-01;1;22;176218.417;0.2019;0.0047;0.1972;3;172547.122;0.1977;0;0.1977;1;90704.376;0.1039;0;0.1039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;433429.838;0.4965;0;0.4965;0;0;0;0;0
16.706.958/0001-32;2024-06-01;1;352232;64808913;1;0.9329;0.0671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.802.320/0001-03;2024-12-01;1;19095;2235043;0.9257;0.9858;0.0142;1;179527;0.0743;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
